date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:36	287094/287094	---MCZ	200	added ('OK')	text/html	etag:W/%22e1e787a6720540477bd06892db62c395%22	https://www.zoomcar.com/policy	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/policy.html	(from https://www.zoomcar.com/)
17:04:36	5612/5612	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ceddb15a4eef16af85ba8666b1522741%22	https://www.zoomcar.com/build/img/policies.ceddb15a4eef16af85ba8666b1522741.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/policies.ceddb15a4eef16af85ba8666b1522741.svg	(from https://www.zoomcar.com/)
17:04:37	146801/146801	---M-Z	200	added ('OK')	text/html	etag:W/%2266d3ec095db6b942af3d8a40e6ab674f%22	https://www.zoomcar.com/faq	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/faq.html	(from https://www.zoomcar.com/)
17:04:37	4770/4770	---M-Z	200	added ('OK')	image/svg+xml	etag:%22acf244c0683e201bd2d978f1ddc5d33d%22	https://www.zoomcar.com/build/img/help-support.acf244c0683e201bd2d978f1ddc5d33d.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/help-support.acf244c0683e201bd2d978f1ddc5d33d.svg	(from https://www.zoomcar.com/)
17:04:38	146672/146672	---M-Z	200	added ('OK')	text/html	etag:W/%22593e99b7c97199c738296d2fba4f7885%22	https://www.zoomcar.com/safety	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/safety.html	(from https://www.zoomcar.com/)
17:04:38	2198/2198	---M-Z	200	added ('OK')	image/svg+xml	etag:%22127607759cd86e3d75f5698a641d5b83%22	https://www.zoomcar.com/build/img/safety.127607759cd86e3d75f5698a641d5b83.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/safety.127607759cd86e3d75f5698a641d5b83.svg	(from https://www.zoomcar.com/)
17:04:38	151428/151428	---M-Z	200	added ('OK')	text/html	etag:W/%2257066f577befe33900490847ac8070de%22	https://www.zoomcar.com/about	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/about.html	(from https://www.zoomcar.com/)
17:04:38	13295/13295	---M-Z	200	added ('OK')	text/html	etag:W/%227dc9660708061940cdefa66b3969649d%22	https://www.zoomcar.com/zap/subscribe	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/zap/subscribe.html	(from https://www.zoomcar.com/)
17:04:39	152950/152950	---M-Z	200	added ('OK')	text/html	etag:W/%22221e9eca9085d20dc0ea8c1607c4bfcb%22	https://www.zoomcar.com/careers	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/careers.html	(from https://www.zoomcar.com/)
17:04:39	398576/398576	---MCZ	200	added ('OK')	text/html	etag:W/%221c65624b288619a4596bfa18aea259bb%22	https://www.zoomcar.com/location	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/location.html	(from https://www.zoomcar.com/)
